Generation,GA_Cost,PSO_Cost,ACS_Cost,MEAF_Cost
470,2016.9773,0.0000,0.0000,0.0000
471,2016.9773,0.0000,0.0000,0.0000
472,2016.9773,0.0000,0.0000,0.0000
473,2016.9773,0.0000,0.0000,0.0000
474,2016.9773,0.0000,0.0000,0.0000
475,2016.9773,0.0000,0.0000,0.0000
476,2016.9773,0.0000,0.0000,0.0000
477,2016.8068,0.0000,0.0000,0.0000
478,2016.8068,0.0000,0.0000,0.0000
479,2016.8068,0.0000,0.0000,0.0000
480,2016.8068,0.0000,0.0000,0.0000
481,2016.8068,0.0000,0.0000,0.0000
482,2016.8068,0.0000,0.0000,0.0000
483,2016.8068,0.0000,0.0000,0.0000
484,2016.8068,0.0000,0.0000,0.0000
485,2016.5990,0.0000,0.0000,0.0000
486,2016.5990,0.0000,0.0000,0.0000
487,2016.5990,0.0000,0.0000,0.0000
488,2016.5990,0.0000,0.0000,0.0000
489,2016.4594,0.0000,0.0000,0.0000
490,2016.4594,0.0000,0.0000,0.0000
491,2016.4594,0.0000,0.0000,0.0000
492,2016.4594,0.0000,0.0000,0.0000
493,2016.4594,0.0000,0.0000,0.0000
494,2016.4594,0.0000,0.0000,0.0000
495,2016.4594,0.0000,0.0000,0.0000
496,2016.4594,0.0000,0.0000,0.0000
497,2016.4594,0.0000,0.0000,0.0000
498,2016.4594,0.0000,0.0000,0.0000
499,2016.4594,0.0000,0.0000,0.0000
500,2015.9649,0.0000,0.0000,0.0000
